region,woreda,Total Households,Total Population,GPS Coordinates Count,Avg Distance to HF,Total Male U5,Total Female U5,Total U5 Children,Vaccinated U5 Children,Zero Dose Children,Under Vaccinated Children,Screened Children for malnutrition,Malnourished Children,Eligible Girls 9‑14,HPV Vaccinated Girls 9‑14,Eligible Pregnant Women,Td Vaccinated Pregnant Women,COVID Eligible (>12),COVID 1st Dose,COVID 2nd Dose,COVID All Doses,Above 12 Yrs,> 60 Yrs,Immunocompromised,Comorbidities,Informed High Risk,Avg Family Size
AfarRegion,AbidaWoreda,6064,28125.0,6028,24.32008575197889,4779.0,3790.0,8569.0,582,186.0,190.0,2277,1117.0,2120.0,847,1052.0,437.0,10238,2599.0,842.0,114.0,10238,198.0,1.0,3.0,1.0,4.64
AfarRegion,Adobteletownadmin,8515,33367.0,6937,4.31556077510276,3503.0,2004.0,5507.0,719,35.0,38.0,3645,144.0,3126.0,2615,906.0,850.0,17900,8361.0,8829.0,6652.0,17900,379.0,23.0,362.0,29.0,3.92
AfarRegion,ArgobaSpecialWoreda,5027,20859.0,4023,5.736821165705192,1228.0,954.0,2182.0,268,19.0,34.0,1213,303.0,1238.0,859,241.0,175.0,7543,2278.0,909.0,319.0,7543,89.0,2.0,12.0,3.0,4.15
AfarRegion,AwashTownWoreda,9753,41152.0,7719,2.634713963502153,3325.0,2099.0,5424.0,660,51.0,28.0,2705,102.0,3033.0,2361,509.0,418.0,16169,6328.0,5032.0,4564.0,16169,127.0,5.0,20.0,5.0,4.22
AfarRegion,BuremedaytuWoreda,6335,39725.0,5939,3.902604577742699,7573.0,5149.0,12722.0,1705,1360.0,1329.0,3389,1983.0,4279.0,2505,972.0,470.0,12745,3339.0,1957.0,1700.0,12745,146.0,1.0,2.0,7.0,6.27
AfarRegion,DulechaWoreda,6229,32507.0,6052,15.218494140311446,4063.0,2905.0,6968.0,1039,71.0,145.0,3813,347.0,2829.0,1638,754.0,529.0,14690,9321.0,5091.0,913832142.0,14690,133.0,7.0,24.0,6.0,5.22
AfarRegion,GereniWoreda,5887,52702.0,5584,10.631051469339223,5499.0,2848.0,8347.0,1173,327.0,298.0,2388,1730.0,10258.0,3501,2977.0,1881.0,15989,11920.0,10298.0,4144.0,15989,1449.0,668.0,876.0,57.0,8.95
AfarRegion,MillecityAdmin,3872,20523.0,2983,4.987864704363543,2910.0,1668.0,4578.0,466,67.0,83.0,1322,336.0,3735.0,2041,956.0,738.0,6748,2586.0,1459.0,1203.0,6748,97.0,66.0,28.0,4.0,5.3
AfarRegion,SemeraLogiaKentibaWoreda,15233,82783.0,12926,2.426639532593711,10465.0,4957.0,15422.0,2675,330.0,330.0,2643,249.0,6773.0,3345,1395.0,1052.0,25381,2829.0,1502.0,12450592.0,25381,224.0,86.0,16.0,32.0,5.43
AfarRegion,YangudiWoreda,3558,24362.0,3454,17.231028667790895,2947.0,892.0,3839.0,1156,5.0,4.0,966,708.0,2848.0,2126,1878.0,1785.0,13479,8346.0,4537.0,4122.0,13479,638.0,3.0,6.0,2.0,6.85
